Area,Number of Individuals,Mean,Median
City of London,11000,148000,60000
Barking and Dagenham,85000,27400,23900
Barnet,188000,49500,28700
Bexley,122000,33500,26900
Brent,155000,35400,24700
Bromley,174000,45500,32000
Camden,101000,92600,37300
Croydon,183000,35600,27500
Ealing,170000,39700,26700
Enfield,144000,36200,26300
Greenwich,124000,40200,27600
Hackney,112000,43100,29400
Hammersmith and Fulham,94000,73200,33200
Haringey,138000,43800,27100
Harrow,129000,39000,27600
Havering,130000,35700,27900
Hillingdon,142000,35900,27100
Hounslow,135000,40300,26400
Islington,106000,62100,33400
Kensington and Chelsea,68000,177000,40400
Kingston-upon-Thames,79000,48700,32400
Lambeth,162000,45600,29900
Lewisham,140000,36800,27300
Merton,111000,54600,30200
Newham,141000,30000,24100
Redbridge,136000,37100,28000
Richmond-upon-Thames,108000,69000,36100
Southwark,146000,48600,29400
Sutton,103000,36900,28200
Tower Hamlets,136000,46600,30200
Waltham Forest,138000,31900,25500
Wandsworth,171000,67900,34500
Westminster,98000,124000,39700